Event,Gold,Gold.1,Silver,Silver.1,Bronze,Bronze.1,Year,Discipline,Male/Female/Mixed,Status,Date,Participants,NOCs
"Half-Middleweight, Men",Makoto Takimoto,JPN,Jo In-Cheol,KOR,Aleksei BudÃµlinNuno Delgado,ESTPOR,2000,Judo,,,,,
"Middleweight, Men",Mark Huizinga,NED,Carlos Honorato,BRA,FrÃ©dÃ©ric DemontfauconRuslan Mashurenko,FRAUKR,2000,Judo,,,,,
"Half-Heavyweight, Men",Kosei Inoue,JPN,Nicolas Gill,CAN,StÃ©phane TraineauYury Styopkin,FRARUS,2000,Judo,,,,,
"Heavyweight, Men",David Douillet,FRA,Shinichi Shinohara,JPN,Indrek PertelsonTamerlan Tmenov,ESTRUS,2000,Judo,,,,,
"Extra-Lightweight, Women",Ryoko Tamura,JPN,Lyubov Bruletova,RUS,Ann SimonsAnna-Maria Gradante,BELGER,2000,Judo,,,,,
"Half-Lightweight, Women",Legna Verdecia,CUB,Noriko Sugawara-Narazaki,JPN,Kye Sun-HuiLiu Yuxiang,PRKCHN,2000,Judo,,,,,
"Lightweight, Women",Isabel FernÃ¡ndez,ESP,Driulis GonzÃ¡lez,CUB,Kie KusakabeMÃ¡ria Pekli,JPNAUS,2000,Judo,,,,,
"Half-Middleweight, Women",SÃ©verine Vandenhende,FRA,Li Shufang,CHN,Gella VandecaveyeJeong Seong-Suk,BELKOR,2000,Judo,,,,,
"Middleweight, Women",Sibelis Veranes,CUB,Kate Howey,GBR,Jo Min-SeonYlenia Scapin,KORITA,2000,Judo,,,,,
"Half-Heavyweight, Women",Tang Lin,CHN,CÃ©line Lebrun,FRA,Emanuela PierantozziSimona Richter,ITAROU,2000,Judo,,,,,
"Heavyweight, Women",Yuan Hua,CHN,Daima BeltrÃ¡n,CUB,Kim Seon-YeongMayumi Yamashita,KORJPN,2000,Judo,,,,,
"Individual, Men",Dmitry Svatkovsky,RUS,GÃ¡bor Balogh,HUN,Paval Douhal,BLR,2000,Modern Pentathlon,,,,,
"Individual, Women",Steph Cook,GBR,Emily deRiel,USA,Kate Allenby,GBR,2000,Modern Pentathlon,,,,,
"Individual, Women",Yuliya Barsukova,RUS,Yuliya Raskina,BLR,Alina Kabayeva,RUS,2000,Rhythmic Gymnastics,,,,,
"Group, Women",Russian Federation,RUS,Belarus,BLR,Greece,GRE,2000,Rhythmic Gymnastics,,,,,
"Single Sculls, Men",Rob Waddell,NZL,Xeno MÃ¼ller,SUI,Marcel Hacker,GER,2000,Rowing,,,,,
"Double Sculls, Men",Slovenia,SLO,Norway,NOR,Italy,ITA,2000,Rowing,,,,,
"Quadruple Sculls, Men",Italy,ITA,Netherlands,NED,Germany,GER,2000,Rowing,,,,,
"Coxless Pairs, Men",France,FRA,United States,USA,Australia,AUS,2000,Rowing,,,,,
"Coxless Fours, Men",Great Britain,GBR,Italy,ITA,Australia,AUS,2000,Rowing,,,,,
"Eights, Men",Great Britain,GBR,Australia,AUS,Croatia,CRO,2000,Rowing,,,,,
"Lightweight Double Sculls, Men",Poland,POL,Italy,ITA,France,FRA,2000,Rowing,,,,,
"Lightweight Coxless Fours, Men",France,FRA,Australia,AUS,Denmark,DEN,2000,Rowing,,,,,
"Single Sculls, Women",Katsiaryna Karsten,BLR,Rumyana Neykova,BUL,Katrin Rutschow-Stomporowski,GER,2000,Rowing,,,,,
"Double Sculls, Women",Germany,GER,Netherlands,NED,Lithuania,LTU,2000,Rowing,,,,,
"Quadruple Sculls, Women",Germany,GER,Great Britain,GBR,Russian Federation,RUS,2000,Rowing,,,,,
"Coxless Pairs, Women",Romania,ROU,Australia,AUS,United States,USA,2000,Rowing,,,,,
"Eights, Women",Romania,ROU,Netherlands,NED,Canada,CAN,2000,Rowing,,,,,
"Lightweight Double Sculls, Women",Romania,ROU,Germany,GER,United States,USA,2000,Rowing,,,,,
"Windsurfer, Men",Christoph Sieber,AUT,Carlos Esp�nola,ARG,Aaron McIntosh,NZL,2000,Sailing,,,,,
"One Person Dinghy, Men",Iain Percy,GBR,Luca Devoti,ITA,Fredrik L��f,SWE,2000,Sailing,,,,,
"Two Person Dinghy, Men",Australia,AUS,United States,USA,Argentina,ARG,2000,Sailing,,,,,
"One Person Dinghy, Open",Ben Ainslie,GBR,Robert Scheidt,BRA,Michael Blackburn,AUS,2000,Sailing,,,,,
"Two Person Keelboat, Open",United States,USA,Great Britain,GBR,Brazil,BRA,2000,Sailing,,,,,
"Skiff, Open",Finland,FIN,Great Britain,GBR,United States,USA,2000,Sailing,,,,,
"Multihull, Open",Austria,AUT,Australia,AUS,Germany,GER,2000,Sailing,,,,,
"Three Person Keelboat, Open",Denmark,DEN,Germany,GER,Norway,NOR,2000,Sailing,,,,,
"Windsurfer, Women",Alessandra Sensini,ITA,Amelie Lux,GER,Barbara Kendall,NZL,2000,Sailing,,,,,
"One Person Dinghy, Women",Shirley Robertson,GBR,Margriet Matthijsse,NED,Serena Amato,ARG,2000,Sailing,,,,,
"Two Person Dinghy, Women",Australia,AUS,United States,USA,Ukraine,UKR,2000,Sailing,,,,,
"Sporting Pistol, 25 metres, Women",Mariya Grozdeva,BUL,Tao Luna,CHN,Lalita Yauhleuskaya,BLR,2000,Shooting,,,,,
"Air Rifle, 10 metres, Women",Nancy Napolski-Johnson,USA,Gang Cho-Hyeon,KOR,Gao Jing,CHN,2000,Shooting,,,,,
"Small-Bore Rifle, Three Positions, 50 metres, Women",Renata Mauer-RÃ³Å¼aÅska,POL,Tatyana Goldobina,RUS,Mariya Feklistova,RUS,2000,Shooting,,,,,
"Trap, Women",Daina GudzineviÄiÅ«tÄ,LTU,Delphine Racinet,FRA,Gao E,CHN,2000,Shooting,,,,,
"Double Trap, Women",Pia Hansen,SWE,Deborah Gelisio,ITA,Kim Rhode,USA,2000,Shooting,,,,,
"Skeet, Women",Zemfira MeftÉkhÉtddinova,AZE,Svetlana Dyomina,RUS,DiÃ¡na Igaly,HUN,2000,Shooting,,,,,
"Softball, Women",United States,USA,Japan,JPN,Australia,AUS,2000,Softball,,,,,
"50 metres Freestyle, Men","Gary Hall, Jr.Anthony Ervin",USAUSA,â,â,Pieter van den Hoogenband,NED,2000,Swimming,,,,,
"100 metres Freestyle, Men",Pieter van den Hoogenband,NED,Aleksandr Popov,RUS,"Gary Hall, Jr.",USA,2000,Swimming,,,,,
"200 metres Freestyle, Men",Pieter van den Hoogenband,NED,Ian Thorpe,AUS,Massi Rosolino,ITA,2000,Swimming,,,,,
"400 metres Freestyle, Men",Ian Thorpe,AUS,Massi Rosolino,ITA,Klete Keller,USA,2000,Swimming,,,,,
"1,500 metres Freestyle, Men",Grant Hackett,AUS,Kieren Perkins,AUS,Chris Thompson,USA,2000,Swimming,,,,,
"4 Ã 100 metres Freestyle Relay, Men",Australia,AUS,United States,USA,Brazil,BRA,2000,Swimming,,,,,
"4 Ã 200 metres Freestyle Relay, Men",Australia,AUS,United States,USA,Netherlands,NED,2000,Swimming,,,,,
"100 metres Backstroke, Men",Lenny Krayzelburg,USA,Matt Welsh,AUS,Stev Theloke,GER,2000,Swimming,,,,,
"200 metres Backstroke, Men",Lenny Krayzelburg,USA,Aaron Peirsol,USA,Matt Welsh,AUS,2000,Swimming,,,,,
"100 metres Breaststroke, Men",Domenico Fioravanti,ITA,Ed Moses,USA,Roman Sludnov,RUS,2000,Swimming,,,,,
"200 metres Breaststroke, Men",Domenico Fioravanti,ITA,Terence Parkin,RSA,Davide Rummolo,ITA,2000,Swimming,,,,,
"100 metres Butterfly, Men",Lars FrÃ¶lander,SWE,Michael Klim,AUS,Geoff Huegill,AUS,2000,Swimming,,,,,
"200 metres Butterfly, Men",Tom Malchow,USA,Denys Sylantiev,UKR,Justin Norris,AUS,2000,Swimming,,,,,
"200 metres Individual Medley, Men",Massi Rosolino,ITA,Tom Dolan,USA,Tom Wilkens,USA,2000,Swimming,,,,,
"400 metres Individual Medley, Men",Tom Dolan,USA,Erik Vendt,USA,Curtis Myden,CAN,2000,Swimming,,,,,
"4 Ã 100 metres Medley Relay, Men",United States,USA,Australia,AUS,Germany,GER,2000,Swimming,,,,,
"50 metres Freestyle, Women",Inge de Bruijn,NED,TherÃ¨se Alshammar,SWE,Dara Torres,USA,2000,Swimming,,,,,
"100 metres Freestyle, Women",Inge de Bruijn,NED,TherÃ¨se Alshammar,SWE,Jenny ThompsonDara Torres,USAUSA,2000,Swimming,,,,,
"200 metres Freestyle, Women",Susie O'Neill,AUS,Martina MoravcovÃ¡,SVK,Claudia Poll,CRC,2000,Swimming,,,,,
"400 metres Freestyle, Women",Brooke Bennett,USA,Diana Munz,USA,Claudia Poll,CRC,2000,Swimming,,,,,
"800 metres Freestyle, Women",Brooke Bennett,USA,Yana Klochkova,UKR,Kaitlin Sandeno,USA,2000,Swimming,,,,,
"4 Ã 100 metres Freestyle Relay, Women",United States,USA,Netherlands,NED,Sweden,SWE,2000,Swimming,,,,,
"4 Ã 200 metres Freestyle Relay, Women",United States,USA,Australia,AUS,Germany,GER,2000,Swimming,,,,,
"100 metres Backstroke, Women",Diana Mocanu,ROU,Mai Nakamura,JPN,Nina Zhivanevskaya,ESP,2000,Swimming,,,,,
"200 metres Backstroke, Women",Diana Mocanu,ROU,Roxana Maracineanu,FRA,Miki Nakao,JPN,2000,Swimming,,,,,
"100 metres Breaststroke, Women",Megan Quann,USA,Leisel Jones,AUS,Penny Heyns,RSA,2000,Swimming,,,,,
"200 metres Breaststroke, Women",Ãgnes KovÃ¡cs,HUN,Kristy Kowal,USA,Amanda Beard,USA,2000,Swimming,,,,,
"100 metres Butterfly, Women",Inge de Bruijn,NED,Martina MoravcovÃ¡,SVK,Dara Torres,USA,2000,Swimming,,,,,
"200 metres Butterfly, Women",Misty Hyman,USA,Susie O'Neill,AUS,Petria Thomas,AUS,2000,Swimming,,,,,
"200 metres Individual Medley, Women",Yana Klochkova,UKR,Beatrice CÄÅlaru,ROU,Cristina Teuscher,USA,2000,Swimming,,,,,
"400 metres Individual Medley, Women",Yana Klochkova,UKR,Yasuko Tajima,JPN,Beatrice CÄÅlaru,ROU,2000,Swimming,,,,,
"4 Ã 100 metres Medley Relay, Women",United States,USA,Australia,AUS,Japan,JPN,2000,Swimming,,,,,
"Singles, Men",Kong Linghui,CHN,Jan-Ove Waldner,SWE,Liu Guoliang,CHN,2000,Table Tennis,,,,,
"Doubles, Men",People's Republic of China 2,CHN,People's Republic of China 1,CHN,France 1,FRA,2000,Table Tennis,,,,,
"Singles, Women",Wang Nan,CHN,Li Ju,CHN,Chen Jing,TPE,2000,Table Tennis,,,,,
"Doubles, Women",People's Republic of China 1,CHN,People's Republic of China 2,CHN,Republic of Korea 1,KOR,2000,Table Tennis,,,,,
"Flyweight, Men",Mikhail Mouroutsos,GRE,Gabriel Esparza,ESP,Huang Chih-Hsiung,TPE,2000,Taekwondo,,,,,
"Featherweight, Men",Steven Lopez,USA,Sin Jun-Sik,KOR,Hadi Saei,IRI,2000,Taekwondo,,,,,
"Welterweight, Men",Ãngel Matos,CUB,Faissal Ebnoutalib,GER,VÃ­ctor Estrada,MEX,2000,Taekwondo,,,,,
"Heavyweight, Men",Kim Gyeong-Hun,KOR,Daniel Trenton,AUS,Pascal Gentil,FRA,2000,Taekwondo,,,,,
"Flyweight, Women",Lauren Burns,AUS,Urbia MelÃ©ndez,CUB,Chi Shu-Ju,TPE,2000,Taekwondo,,,,,
"Featherweight, Women",Jeong Jae-Eun,KOR,Tráº§n Hiáº¿u NgÃ¢n,VIE,Hamide BÄ±kÃ§Ä±n,TUR,2000,Taekwondo,,,,,
"Welterweight, Women",Lee Seon-Hui,KOR,Trude Gundersen,NOR,Yoriko Okamoto,JPN,2000,Taekwondo,,,,,
"Heavyweight, Women",Chen Zhong,CHN,Nataliya Ivanova,RUS,Dominique Bosshart,CAN,2000,Taekwondo,,,,,
"Singles, Men",Yevgeny Kafelnikov,RUS,Tommy Haas,GER,Arnaud Di Pasquale,FRA,2000,Tennis,,,,,
"Doubles, Men",Canada,CAN,Australia,AUS,Spain,ESP,2000,Tennis,,,,,
"Singles, Women",Venus Williams,USA,Yelena Dementyeva,RUS,Monica Seles,USA,2000,Tennis,,,,,
"Doubles, Women",United States,USA,Netherlands,NED,Belgium,BEL,2000,Tennis,,,,,
"Individual, Men",Aleksandr Moskalenko,RUS,Ji Wallace,AUS,Mathieu Turgeon,CAN,2000,Trampolining,,,,,
"Individual, Women",Irina Karavayeva,RUS,Oksana Tsyhulova,UKR,Karen Cockburn,CAN,2000,Trampolining,,,,,
"Olympic Distance, Men",Simon Whitfield,CAN,Stephan Vuckovic,GER,Jan Åehula,CZE,2000,Triathlon,,,,,
"Olympic Distance, Women",Brigitte McMahon,SUI,Michellie Jones,AUS,Magali Di Marco,SUI,2000,Triathlon,,,,,
"Volleyball, Men",Yugoslavia,SCG,Russian Federation,RUS,Italy,ITA,2000,Volleyball,,,,,
"Volleyball, Women",Cuba,CUB,Russian Federation,RUS,Brazil,BRA,2000,Volleyball,,,,,
"Water Polo, Men",Hungary,HUN,Russian Federation,RUS,Yugoslavia,SCG,2000,Water Polo,,,,,
"Water Polo, Women",Australia,AUS,United States,USA,Russian Federation,RUS,2000,Water Polo,,,,,
"Bantamweight, Men",Halil Mutlu,TUR,Wu Wenxiong,CHN,Zhang Xiangxiang,CHN,2000,Weightlifting,,,,,
"Featherweight, Men",Nikolaj PeÅ¡alov,CRO,Leonidas Sabanis,GRE,Henadzi Aliashchuk,BLR,2000,Weightlifting,,,,,
"Lightweight, Men",Galabin Boevski,BUL,Georgi Markov,BUL,Siarhei Laurenau,BLR,2000,Weightlifting,,,,,
"Middleweight, Men",Zhan Xugang,CHN,Viktor Mitrou,GRE,Arsen Melikyan,ARM,2000,Weightlifting,,,,,
"Light-Heavyweight, Men",Pyrros Dimas,GRE,Marc Huster,GER,Giorgi Asanidze,GEO,2000,Weightlifting,,,,,
"Middle-Heavyweight, Men",Akakios Kakiasvili,GRE,Szymon KoÅecki,POL,Aleksey Petrov,RUS,2000,Weightlifting,,,,,
"Heavyweight, Men",Hossein Tavakoli,IRI,Alan Tsagaev,BUL,Asaad Said Saif,QAT,2000,Weightlifting,,,,,
"Super-Heavyweight, Men",Hossein Reza Zadeh,IRI,Ronny Weller,GER,Andrey Chemerkin,RUS,2000,Weightlifting,,,,,
"Flyweight, Women",Tara Nott,USA,Raema Lisa Rumbewas,INA,Sri Indriyani,INA,2000,Weightlifting,,,,,
"Featherweight, Women",Yang Xia,CHN,Li Feng-Ying,TPE,Winarni Binti Slamet,INA,2000,Weightlifting,,,,,
"Lightweight, Women",Soraya JimÃ©nez,MEX,Ri Song-Hui,PRK,Khassaraporn Suta,THA,2000,Weightlifting,,,,,
"Middleweight, Women",Chen Xiaomin,CHN,Valentina Popova,RUS,Ioanna Khatziioannou,GRE,2000,Weightlifting,,,,,
"Light-Heavyweight, Women",Lin Weining,CHN,ErzsÃ©bet MÃ¡rkus-Peresztegi,HUN,Karnam Malleswari,IND,2000,Weightlifting,,,,,
"Heavyweight, Women",MarÃ­a Isabel Urrutia,COL,Ruth Ogbeifo,NGR,Kuo Yi-Hang,TPE,2000,Weightlifting,,,,,
"Super-Heavyweight, Women",Ding Meiyuan,CHN,Agata WrÃ³bel,POL,Cheryl Haworth,USA,2000,Weightlifting,,,,,
"Bantamweight, Greco-Roman, Men",Sim Gwon-Ho,KOR,LÃ¡zaro Rivas,CUB,Kang Yong-Gyun,PRK,2000,Wrestling,,,,,
"Featherweight, Greco-Roman, Men",Armen Nazaryan,BUL,Kim In-Seop,KOR,Sheng Zetian,CHN,2000,Wrestling,,,,,
"Lightweight, Greco-Roman, Men",Varteres Samurgashev,RUS,Juan Luis MarÃ©n,CUB,Ak'ak'i Chachua,GEO,2000,Wrestling,,,,,
"Welterweight, Greco-Roman, Men",Filiberto Azcuy,CUB,Katsuhiko Nagata,JPN,Aleksey Glushkov,RUS,2000,Wrestling,,,,,
"Middleweight, Greco-Roman, Men",Murat Kardanov,RUS,Matt Lindland,USA,Marko Yli-Hannuksela,FIN,2000,Wrestling,,,,,
"Light-Heavyweight, Greco-Roman, Men",Hamza Yerlikaya,TUR,SÃ¡ndor IstvÃ¡n BÃ¡rdosi,HUN,Mukhran Vakht'angadze,GEO,2000,Wrestling,,,,,
"Heavyweight, Greco-Roman, Men",Mikael Ljungberg,SWE,Davyd Soldadze,UKR,Garrett Lowney,USA,2000,Wrestling,,,,,
"Super-Heavyweight, Greco-Roman, Men",Rulon Gardner,USA,Aleksandr Karelin,RUS,Dzmitry Dziabelka,BLR,2000,Wrestling,,,,,
"Bantamweight, Freestyle, Men",Namiq Abdullayev,AZE,Sammie Henson,USA,Amiran Kardanov,GRE,2000,Wrestling,,,,,
"Featherweight, Freestyle, Men",Ali Reza Dabir,IRI,Yevhen Buslovych,UKR,Terry Brands,USA,2000,Wrestling,,,,,
"Lightweight, Freestyle, Men",Murad Umakhanov,RUS,Serafim Barzakov,BUL,Jang Jae-Seong,KOR,2000,Wrestling,,,,,
"Welterweight, Freestyle, Men",Daniel Igali,CAN,Arsen Gitinov,RUS,Lincoln McIlravy,USA,2000,Wrestling,,,,,
"Middleweight, Freestyle, Men",Brandon Slay,USA,Mun Ui-Je,KOR,Adem Bereket,TUR,2000,Wrestling,,,,,
"Light-Heavyweight, Freestyle, Men",Adam Saytiyev,RUS,Yoel Romero,CUB,Mogamed Ibragimov,MKD,2000,Wrestling,,,,,
"Heavyweight, Freestyle, Men",Sagid Murtazaliyev,RUS,Islam Bayramukov,KAZ,Eldar K'urt'anidze,GEO,2000,Wrestling,,,,,
"Super-Heavyweight, Freestyle, Men",David Musulbes,RUS,Artur Taymazov,UZB,Alexis RodrÃ­guez,CUB,2000,Wrestling,,,,,
"Individual, Men",Marco Galiazzo,ITA,Hiroshi Yamamoto,JPN,Tim Cuddihy,AUS,2004,Archery,,,,,
"Team, Men",Republic of Korea,KOR,Chinese Taipei,TPE,Ukraine,UKR,2004,Archery,,,,,
"Individual, Women",Park Seong-Hyeon,KOR,Lee Seong-Jin,KOR,Alison Williamson,GBR,2004,Archery,,,,,
"Team, Women",Republic of Korea,KOR,People's Republic of China,CHN,Chinese Taipei,TPE,2004,Archery,,,,,
"Individual All-Around, Men",Paul Hamm,USA,Kim Dae-Eun,KOR,Yang Tae-Yeong,KOR,2004,Artistic Gymnastics,,,,,
"Team All-Around, Men",Japan,JPN,United States,USA,Romania,ROU,2004,Artistic Gymnastics,,,,,
"Floor Exercise, Men",Kyle Shewfelt,CAN,Marian DrÄgulescu,ROU,Yordan Yovchev,BUL,2004,Artistic Gymnastics,,,,,
"Horse Vault, Men",Gervasio Deferr,ESP,JevgÄÅijs SaproÅenko,LAT,Marian DrÄgulescu,ROU,2004,Artistic Gymnastics,,,,,
"Parallel Bars, Men",Valeriy Honcharov,UKR,Hiroyuki Tomita,JPN,Li Xiaopeng,CHN,2004,Artistic Gymnastics,,,,,
"Horizontal Bar, Men",Igor Cassina,ITA,Paul Hamm,USA,Isao Yoneda,JPN,2004,Artistic Gymnastics,,,,,
"Rings, Men",Dimosthenis Tambakos,GRE,Yordan Yovchev,BUL,Jury Chechi,ITA,2004,Artistic Gymnastics,,,,,
"Pommelled Horse, Men",Teng Haibin,CHN,Marius UrzicÄ,ROU,Takehiro Kashima,JPN,2004,Artistic Gymnastics,,,,,
"Individual All-Around, Women",Carly Patterson,USA,Svetlana Khorkina,RUS,Zhang Nan,CHN,2004,Artistic Gymnastics,,,,,
"Team All-Around, Women",Romania,ROU,United States,USA,Russian Federation,RUS,2004,Artistic Gymnastics,,,,,
"Floor Exercise, Women",CÄtÄlina Ponor,ROU,Dana Èofronie,ROU,Patricia Moreno,ESP,2004,Artistic Gymnastics,,,,,
"Horse Vault, Women",Monica RoÈu,ROU,Annia Hatch,USA,Anna Pavlova,RUS,2004,Artistic Gymnastics,,,,,
"Uneven Bars, Women",Ãmilie Le Pennec,FRA,Terin Humphrey,USA,Courtney Kupets,USA,2004,Artistic Gymnastics,,,,,
"Balance Beam, Women",CÄtÄlina Ponor,ROU,Carly Patterson,USA,Alexandra Eremia,ROU,2004,Artistic Gymnastics,,,,,
"Duet, Women",Russian Federation,RUS,Japan,JPN,United States,USA,2004,Artistic Swimming,,,,,
"Team, Women",Russian Federation,RUS,Japan,JPN,United States,USA,2004,Artistic Swimming,,,,,
"1,500 metres Wheelchair, Men",,,,,,,2004,Athletics,,,,,
"800 metres Wheelchair, Women",,,,,,,2004,Athletics,,,,,
,,,,,,,2004,Athletics,,,,,
"Singles, Men",Taufik Hidayat,INA,Son Seung-Mo,KOR,Sony Dwi Kuncoro,INA,2004,Badminton,,,,,
"Doubles, Men",Republic of Korea 2,KOR,Republic of Korea,KOR,Indonesia 1,INA,2004,Badminton,,,,,
"Singles, Women",Zhang Ning,CHN,Mia Audina,NED,Zhou Mi,CHN,2004,Badminton,,,,,
"Doubles, Women",People's Republic of China 1,CHN,People's Republic of China,CHN,Republic of Korea 1,KOR,2004,Badminton,,,,,
"Doubles, Mixed",People's Republic of China 2,CHN,Great Britain 1,GBR,Denmark 2,DEN,2004,Badminton,,,,,
"Baseball, Men",Cuba,CUB,Australia,AUS,Japan,JPN,2004,Baseball,,,,,
"Basketball, Men",Argentina,ARG,Italy,ITA,United States,USA,2004,Basketball,,,,,
"Basketball, Women",United States,USA,Australia,AUS,Russian Federation,RUS,2004,Basketball,,,,,
"Beach Volleyball, Men",Brazil 1,BRA,Spain,ESP,Switzerland 2,SUI,2004,Beach Volleyball,,,,,
"Beach Volleyball, Women",United States 1,USA,Brazil 1,BRA,United States 2,USA,2004,Beach Volleyball,,,,,
"Light-Flyweight, Men",Yan BarthelemÃ­,CUB,AtagÃ¼n YalÃ§Ä±nkaya,TUR,Sergey KazakovZou Shiming,RUSCHN,2004,Boxing,,,,,
"Flyweight, Men",Yuriorkis Gamboa,CUB,JÃ©rÃ´me Thomas,FRA,Rustam RahimovFuad Aslanov,GERAZE,2004,Boxing,,,,,
"Bantamweight, Men",Guillermo Rigondeaux,CUB,Worapoj Petchkoom,THA,Bakhodirdzhon SultanovAÄasÄ± MÉmmÉdov,UZBAZE,2004,Boxing,,,,,
"Featherweight, Men",Aleksey Tishchenko,RUS,Kim Song-Guk,PRK,Vitali TajbertJo Seok-Hwan,GERKOR,2004,Boxing,,,,,
"Lightweight, Men",Mario KindelÃ¡n,CUB,Amir Khan,GBR,Serik YeleuovMurat Khrachov,KAZRUS,2004,Boxing,,,,,
"Light-Welterweight, Men",Manut Boonjumnong,THA,Yudel Johnson,CUB,Boris GeorgievIonuÈ Gheorghe,BULROU,2004,Boxing,,,,,
"Welterweight, Men",Bakhtiyar Artayev,KAZ,Lorenzo AragÃ³n,CUB,Kim Jeong-JuOleg Saitov,KORRUS,2004,Boxing,,,,,
"Middleweight, Men",Gaydarbek Gaydarbekov,RUS,Gennady Golovkin,KAZ,Andre DirrellSuriya Prasathinphimai,USATHA,2004,Boxing,,,,,
"Light-Heavyweight, Men",Andre Ward,USA,Mahamed Aryphadzhyeu,BLR,Utkirbek KhaydarovAhmed Ismail,UZBEGY,2004,Boxing,,,,,
"Heavyweight, Men",Odlanier SolÃ­s,CUB,Viktar Zuyeu,BLR,Naser Al ShamiMohamed El-Sayed,SYREGY,2004,Boxing,,,,,
"Super-Heavyweight, Men",Aleksandr Povetkin,RUS,Mohamed Aly,EGY,Roberto CammarelleMichel LÃ³pez,ITACUB,2004,Boxing,,,,,
"Kayak Singles, Slalom, Men",BenoÃ®t Peschier,FRA,Campbell Walsh,GBR,Fabien LefÃ¨vre,FRA,2004,Canoe Slalom,,,,,
"Canadian Singles, Slalom, Men",Tony Estanguet,FRA,Michal MartikÃ¡n,SVK,Stefan PfannmÃ¶ller,GER,2004,Canoe Slalom,,,,,
"Canadian Doubles, Slalom, Men",Slovakia,SVK,Germany 1,GER,Czech Republic 1,CZE,2004,Canoe Slalom,,,,,
"Kayak Singles, Slalom, Women",Elena KaliskÃ¡,SVK,Rebecca Giddens,USA,Helen Reeves,GBR,2004,Canoe Slalom,,,,,
"Kayak Singles, 500 metres, Men",Adam Van Koeverden,CAN,Nathan Baggaley,AUS,Ian Wynne,GBR,2004,Canoe Sprint,,,,,
"Kayak Singles, 1,000 metres, Men",Eirik VerÃ¥s Larsen,NOR,Ben Fouhy,NZL,Adam Van Koeverden,CAN,2004,Canoe Sprint,,,,,
"Kayak Doubles, 500 metres, Men",Germany,GER,Australia,AUS,Belarus,BLR,2004,Canoe Sprint,,,,,
"Kayak Doubles, 1,000 metres, Men",Sweden,SWE,Italy,ITA,Norway,NOR,2004,Canoe Sprint,,,,,
"Kayak Fours, 1,000 metres, Men",Hungary,HUN,Germany,GER,Slovakia,SVK,2004,Canoe Sprint,,,,,
"Canadian Singles, 500 metres, Men",Andreas Dittmer,GER,David Cal,ESP,Maksim Opalev,RUS,2004,Canoe Sprint,,,,,
"Canadian Singles, 1,000 metres, Men",David Cal,ESP,Andreas Dittmer,GER,Attila Vajda,HUN,2004,Canoe Sprint,,,,,
"Canadian Doubles, 500 metres, Men",People's Republic of China,CHN,Cuba,CUB,Russian Federation,RUS,2004,Canoe Sprint,,,,,
"Canadian Doubles, 1,000 metres, Men",Germany,GER,Russian Federation,RUS,Hungary,HUN,2004,Canoe Sprint,,,,,
"Kayak Singles, 500 metres, Women",Natasa Janics,HUN,Josefa Idem,ITA,Caroline Brunet,CAN,2004,Canoe Sprint,,,,,
"Kayak Doubles, 500 metres, Women",Hungary,HUN,Germany,GER,Poland,POL,2004,Canoe Sprint,,,,,
"Kayak Fours, 500 metres, Women",Germany,GER,Hungary,HUN,Ukraine,UKR,2004,Canoe Sprint,,,,,
"Cross-Country, Men",Julien Absalon,FRA,JosÃ© Antonio Hermida,ESP,Bart Brentjens,NED,2004,Cycling Mountain Bike,,,,,
"Cross-Country, Women",Gunn Rita Dahle,NOR,Marie-HÃ©lÃ¨ne PrÃ©mont,CAN,Sabine Spitz,GER,2004,Cycling Mountain Bike,,,,,
"Road Race, Individual, Men",Paolo Bettini,ITA,SÃ©rgio Paulinho,POR,Axel Merckx,BEL,2004,Cycling Road,,,,,
"Individual Time Trial, Men",Vyacheslav Yekimov,RUS,Bobby Julich,USA,Mick Rogers,AUS,2004,Cycling Road,,,,,
"Road Race, Individual, Women",Sara Carrigan,AUS,Judith Arndt,GER,Olga Slyusareva,RUS,2004,Cycling Road,,,,,
"Individual Time Trial, Women",Leontien Zijlaard-van Moorsel,NED,Dede Demet-Barry,USA,Karin ThÃ¼rig,SUI,2004,Cycling Road,,,,,
"Sprint, Men",Ryan Bayley,AUS,Theo Bos,NED,Ren� Wolff,GER,2004,Cycling Track,,,,,
"1,000 metres Time Trial, Men",Chris Hoy,GBR,Arnaud Tournant,FRA,Stefan Nimke,GER,2004,Cycling Track,,,,,
"Keirin, Men",Ryan Bayley,AUS,Jos� Antonio Escuredo,ESP,Shane Kelly,AUS,2004,Cycling Track,,,,,
"Team Sprint, Men",Germany,GER,Japan,JPN,France,FRA,2004,Cycling Track,,,,,
"Individual Pursuit, 4,000 metres, Men",Bradley Wiggins,GBR,Brad McGee,AUS,Sergi Escobar,ESP,2004,Cycling Track,,,,,
"Team Pursuit, 4,000 metres, Men",Australia,AUS,Great Britain,GBR,Spain,ESP,2004,Cycling Track,,,,,
"Points Race, Men",Mikhail Ignatyev,RUS,Joan Llaneras,ESP,Guido Fulst,GER,2004,Cycling Track,,,,,
"Madison, Men",Australia,AUS,Switzerland,SUI,Great Britain,GBR,2004,Cycling Track,,,,,
"Sprint, Women",Lori-Ann Muenzer,CAN,Tamila Abasova,RUS,Anna Meares,AUS,2004,Cycling Track,,,,,
